Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","150pF NP0","C_0603_1608Metric",40.9860,78.8685,90.0000,bottom
"C2","150pF NP0","C_0603_1608Metric",44.7960,75.4395,-90.0000,bottom
"C3","150pF NP0","C_0603_1608Metric",44.7960,72.3405,-90.0000,bottom
"C4","not assembled","C_0603_1608Metric",42.8910,74.6520,-90.0000,bottom
"C5","470pF NP0","C_0603_1608Metric",40.9860,74.6520,90.0000,bottom
"C6","100nF","C_0603_1608Metric",31.8420,74.7000,-90.0000,bottom
"C7","150pF NP0","C_0603_1608Metric",11.0140,78.8685,90.0000,bottom
"C8","150pF NP0","C_0603_1608Metric",9.2360,78.8685,90.0000,bottom
"C9","150pF NP0","C_0603_1608Metric",7.2040,76.0490,-90.0000,bottom
"C10","150pF NP0","C_0603_1608Metric",7.2040,72.8485,-90.0000,bottom
"C11","10pF NP0","C_0603_1608Metric",9.1090,74.6775,-90.0000,bottom
"C12","470pF NP0","C_0603_1608Metric",11.0140,74.6775,90.0000,bottom
"C13","100nF","C_0603_1608Metric",20.1580,74.6775,-90.0000,bottom
"C14","47pF NP0","C_0603_1608Metric",42.8910,78.8685,90.0000,bottom
"C15","22pF","C_0603_1608Metric",12.6650,15.7000,90.0000,bottom
"C16","22pF","C_0603_1608Metric",14.6970,15.7240,90.0000,bottom
"C17","22pF","C_0603_1608Metric",29.8500,10.4125,-90.0000,bottom
"C18","22pF","C_0603_1608Metric",28.3000,11.6125,-90.0000,bottom
"C20","100nF","C_0603_1608Metric",15.5860,50.5220,-90.0000,bottom
"C21","100nF","C_0603_1608Metric",20.8000,23.4000,180.0000,bottom
"C22","10nF","C_0603_1608Metric",38.4000,23.6900,0.0000,bottom
"C23","100nF","C_0603_1608Metric",32.3500,46.0000,0.0000,bottom
"C24","100nF","C_0603_1608Metric",19.5000,19.0000,-90.0000,bottom
"C25","100nF","C_0603_1608Metric",4.6640,33.1230,0.0000,bottom
"C26","100nF","C_0603_1608Metric",3.6480,52.3000,-90.0000,bottom
"C27","100nF","C_0603_1608Metric",27.0795,54.5225,-90.0000,bottom
"C28","100nF","C_0603_1608Metric",25.9745,82.5260,180.0000,bottom
"C29","10uF","C_0805_2012Metric",41.6845,26.5115,0.0000,bottom
"C30","100nF","C_0603_1608Metric",41.3000,47.1000,-90.0000,bottom
"C32","100nF","C_0603_1608Metric",44.3000,54.7000,90.0000,bottom
"C33","100nF","C_0603_1608Metric",37.3125,45.9000,0.0000,bottom
"C34","22nF","C_0603_1608Metric",4.4100,42.9020,180.0000,bottom
"C35","100nF","C_0603_1608Metric",3.6480,40.3620,90.0000,bottom
"C36","47uF","C_1206_3216Metric",42.8300,50.7800,0.0000,bottom
"C37","1uF","C_0603_1608Metric",47.2089,54.2558,180.0000,bottom
"D1","BB914","SOT-23",38.1260,74.7500,180.0000,bottom
"D2","BB914","SOT-23",13.8740,74.7638,180.0000,bottom
"L1","1mH","L_1812_4532Metric",45.8000,80.3375,-90.0000,bottom
"L2","1mH","L_1812_4532Metric",6.2000,80.5375,-90.0000,bottom
"R1","4M7","R_0603_1608Metric",31.8420,78.8685,-90.0000,bottom
"R2","2k2","R_0603_1608Metric",34.7630,78.0810,180.0000,bottom
"R3","100k","R_0603_1608Metric",34.5090,75.6680,0.0000,bottom
"R4","100k","R_0603_1608Metric",34.5090,73.8900,180.0000,bottom
"R5","4M7","R_0603_1608Metric",20.1580,78.8685,-90.0000,bottom
"R6","2k2","R_0603_1608Metric",17.4655,78.0810,0.0000,bottom
"R7","100k","R_0603_1608Metric",17.4655,75.6680,180.0000,bottom
"R8","100k","R_0603_1608Metric",17.4655,73.8900,0.0000,bottom
"R11","4M7","R_0603_1608Metric",13.4270,18.0100,0.0000,bottom
"R12","470R","R_0603_1608Metric",13.4270,19.5340,180.0000,bottom
"R13","4M7","R_0603_1608Metric",16.7000,19.5340,0.0000,bottom
"R14","470R","R_0603_1608Metric",16.7000,18.0100,180.0000,bottom
"R15","100k","R_0603_1608Metric",15.5860,54.0780,90.0000,bottom
"R16","100k","R_0603_1608Metric",21.7000,21.9000,180.0000,bottom
"R17","2k2","R_0603_1608Metric",34.9300,23.7100,0.0000,bottom
"R18","470R","R_0603_1608Metric",22.7870,47.3470,0.0000,bottom
"R19","470R","R_0603_1608Metric",16.4115,47.8550,0.0000,bottom
"R20","2k2","R_0603_1608Metric",40.7475,36.0000,0.0000,bottom
"R21","2k2","R_0603_1608Metric",48.9235,36.0875,-90.0000,bottom
"R22","2k2","R_0603_1608Metric",47.3995,36.0875,-90.0000,bottom
"R23","470R","R_0603_1608Metric",25.3000,60.0250,-90.0000,bottom
"R24","470R","R_0603_1608Metric",26.9000,60.0250,-90.0000,bottom
"U1","TTP223","SOT-23-6",4.8340,45.9500,180.0000,bottom
"U2","74HC4060D","SOIC-16_3.9x9.9mm_P1.27mm",6.3000,26.7730,180.0000,bottom
"U3","74HC4060D","SOIC-16_3.9x9.9mm_P1.27mm",14.2000,26.0110,180.0000,bottom
"U4","74HC74","SOIC-14_3.9x8.7mm_P1.27mm",9.4900,52.3000,90.0000,bottom
"U5","HEF4069UBT","SOIC-14_3.9x8.7mm_P1.27mm",26.0000,76.7500,0.0000,bottom
"U6","MCP4922-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",23.8000,28.9100,180.0000,bottom
"U7","MCP4922-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",21.4280,52.3650,90.0000,bottom
"U8","LM358 / MCP6002","SOIC-8_3.9x4.9mm_P1.27mm",30.5470,26.1445,-90.0000,bottom
"U9","ATmega328P-AU","TQFP-32_7x7mm_P0.8mm",27.4940,41.0592,45.0000,bottom
"U10","FT232RL","SSOP-28_5.3x10.2mm_P0.65mm",34.9000,51.6000,-90.0000,bottom
"U11","LP2985-3.3","SOT-23-5",47.4200,51.4800,0.0000,bottom
"U12","MCP4922-E/SL","SOIC-14_3.9x8.7mm_P1.27mm",24.8570,17.2480,-90.0000,bottom
"W1","FIDUCIAL1","Fiducial_1mm_Mask2mm",48.0000,95.0000,0.0000,bottom
"W2","FIDUCIAL2","Fiducial_1mm_Mask2mm",4.0000,10.0000,0.0000,bottom
"X1","16MHz","Crystal_SMD_HC49-SD",14.2570,10.0090,0.0000,bottom
"X2","7.3721MHz","Crystal_SMD_HC49-SD",37.7430,10.0090,0.0000,bottom
"Y3","SJ-3524-SMT-TR","Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal",42.7000,19.3000,90.0000,bottom
"Y7","SJ-3524-SMT-TR","Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal",42.7000,31.3500,90.0000,bottom
